Node ID,Total de Alarmes,Total de Correlações,Total de Incidentes,Média de Alarmes por Incidente,Densidade
f31c29d2-8ee5-430a-ac5b-8f4fa6612ee0,67,2211,1,67.0,1.0
4b187e88-7f27-4b6b-8a0d-dfbe36945be0,5,10,1,5.0,1.0
46676fbc-48e7-44c6-a3bd-385914f1efec,39,741,1,39.0,1.0
381d1313-8194-4128-a450-ed70ab6d7fb2,33,496,1,33.0,0.9393939393939394
1319eba5-3044-4880-b119-d2cd52f07dbc,9,36,1,9.0,1.0
477a52a5-a31c-4d6b-9f21-7002327a9a67,33,528,1,33.0,1.0
dce85d16-5f2c-4e3b-a061-f2536655cd14,2,1,1,2.0,1.0
0d27f681-5967-4c06-81a2-724397a46b5a,5,10,1,5.0,1.0
00253763-a327-4731-8073-e4a56ba3b604,4,6,1,4.0,1.0
68627c54-3cf0-4c87-a687-0080e722f561,3,1,1,3.0,0.3333333333333333
9a43a14f-db1f-4ca2-85dd-5bfed0da4cce,2,1,1,2.0,1.0
